大分類カテゴリーコード,大分類カテゴリー,中分類カテゴリーコード,中分類カテゴリー,小分類カテゴリーコード,小分類カテゴリー,販売手数料
100000001,レディース服,200000001,スーツ,300002246,パンツスーツ,10
100000001,レディース服,200000001,スーツ,300002247,スカートスーツ,10
100000001,レディース服,200000001,スーツ,300002248,ワンピーススーツ,10
100000001,レディース服,200000001,スーツ,300002249,その他 スーツ,10
100000001,レディース服,200000002,ワンピース・ドレス,300000001,ドレス,10
100000001,レディース服,200000002,ワンピース・ドレス,300000008,プリント・柄ワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,300002193,長袖ミニ・膝丈ワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,300002194,ニットワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,300002195,その他 ワンピース・ドレス,10
100000001,レディース服,200000002,ワンピース・ドレス,300002250,シャツワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,300002506,長袖ロング・マキシ丈ワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,300002767,Tシャツワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,300002768,袖なしミニ・膝丈ワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,300002769,半袖ミニ・膝丈ワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,300002770,袖なしロング・マキシ丈ワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,300002771,半袖ロング・マキシ丈ワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,300002862,デニムワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,320001438,シフォンワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,320001439,レースワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,320001440,ベアワンピ,10
100000001,レディース服,200000002,ワンピース・ドレス,320001441,キャミワンピ,10
100000001,レディース服,200000004,トップス,300000012,キャミソール,10
100000001,レディース服,200000004,トップス,300000013,シャツ・ブラウス,10
100000001,レディース服,200000004,トップス,300000025,ニット,10
100000001,レディース服,200000004,トップス,300002188,トレーナー,10
100000001,レディース服,200000004,トップス,300002252,Tシャツ・カットソー,10
100000001,レディース服,200000004,トップス,300002253,チュニック,10
100000001,レディース服,200000004,トップス,300002254,ポロシャツ,10
100000001,レディース服,200000004,トップス,300003071,カーディガン,10
100000001,レディース服,200000004,トップス,300003075,パーカー,10
