通し番号,品番,商品ID,商品名,タイトル,仕入個数,在庫数,棚卸,仕入日
"62,430",323103M83600069,4940577975645 ,F1 TCF4713R #SC1,TOTO　アプリコット　F1　TCF4713R　#SC1　[パステルアイボリー]　温水洗浄便座,1,1,,2024/5/1
"62,375",DA2412945969,4902370536058 ,ゼルダの伝説,,1,1,,2024/4/29
"62,347",766595886722A,4988615183980 ,PLJM-17333,Winning Post 10 2024 [通常版] [PS4] ,1,1,,2024/4/27
"62,289",O79LJJOVDQ5HMRMF,4580038879732 ,CPH2557BK,OPPO A79 5G SIMフリー [ミステリーブラック] SIMフリースマートフォン,1,1,,2024/4/25
"61,996",358477804506A,4571303222179 ,COTSUBU [BLACK] ,COTSUBU [BLACK] フルワイヤレスイヤホン,1,1,,2024/4/10
"61,851",A2SUC316904Y0Y,840006698418 ,CH-91A401A-JP,K65 PRO MINI CH-91A401A-JP [ブラック] 日本語レイアウト かな印字無し 有線キーボード,1,1,,2024/4/4
"61,821",4VGZM13002023T,6941565922595 ,DJI-Mic,DJI Mic  ワイヤレスマイク,1,1,,2024/4/3
"61,487",SH95L771TJKM9,4549995050042 ,MU8F2J/A,アップル Apple iPad Pro用 Apple Pencil MU8F2J/A Appleペンシル 第2世代,1,1,,2024/3/12
"61,431",SJQP2G5LQF7,4549995400908 ,MR993J/A,Apple Watch Series 9 GPSモデル 45mm MR993J/A [ミッドナイトスポーツバンド S/M],1,1,,2024/3/9
"61,407",AZND0927-KN0399590,4968929216925 ,WAVE-BUDSWHT,WAVE BUDS [ホワイト] 「オーバルシェイプ・サウンドチューブ」を採用した完全ワイヤレスイヤホン,1,1,,2024/3/7
"61,375",DA2461400932,4940261520175 ,HAC-P-BBQ6A,不思議のダンジョン 風来のシレン6 とぐろ島探検録 [Nintendo Switch],1,1,,2024/3/7
"61,085",564098310112A,4710623447279 ,MD600A-BUSPBBLTH,Barocco MD600A-BUSPBBLTH 茶軸 [ブラック]キーボード 左右分離型 ［有線・ワイヤレス /Bluetooth・USB］,1,1,,2024/2/12
"61,075",DA2306302809,4902370545319 ,HAC-P-ACBAA,任天堂 あつまれ どうぶつの森 [Nintendo Switch],1,1,,2024/2/10
"60,612",491595228143A,4981747076915 ,VSI-3213/KJ,VSI-3213/KJ カールアイロン,1,1,,2024/1/15
"60,597",73400553V336A2A0003636,7340055391368 ,EMBERTON2BLACKBRASS,Emberton II [Black and Brass] マルチディレクショナル（全方位）サウンドを採用したBluetoothスピーカー,1,1,,2024/1/13
"60,452",DA1625114632,5030917299964 ,ELJM-30361,Call of Duty： Modern Warfare III [PS5],1,1,,2024/1/8
"60,387",G9M0XB211263,4710483931598 ,B550M-Pro4,B550M Pro4 MicroATXマザーボード,1,1,,2023/12/25
"60,385",G9M0XB211262,4710483931598 ,B550M-Pro4,B550M Pro4 MicroATXマザーボード,1,1,,2023/12/25
"60,381",128494150164A,4902370543889 ,HAC-P-ALZAA,任天堂 Nintendo ポケットモンスター ソード  Nintendo Switch,1,1,,2023/12/24
"60,383",G9M0XB211264,4710483931598 ,B550M-Pro4,B550M Pro4 MicroATXマザーボード,1,1,,2023/12/22
"60,135",005506837865A,4549767165851 ,HAC-P-BAB8A,すみっコぐらし みんなでリズムパーティ [Nintendo Switch] ,1,1,,2023/12/9
"59,963",361525334450A,4902901972034 ,NJ-SE06F-B,備長炭 炭炊釜 NJ-SE06F-B [黒曜]三菱IＨジャー炊飯器 炭炊釜 3.5合,1,1,,2023/12/2
"59,947",358465263914A,4967576618939 ,HDR-M101-H,MiCOLA HDR-M101-H [ダークグレー]イオンドライヤー,1,1,,2023/11/30
"59,945",182567091206A,4987176111135 ,B09PB3CJJF_5,"さらさ 洗濯洗剤 液体 詰め替え 2,100g 5個セット",1,1,,2023/11/30
"59,836",621634205205A,619659188948 ,SDSDXVV-256G-GNCIN,SDSDXVV-256G-GNCIN [256GB] SDXCメモリーカード ,1,1,,2023/11/28
"59,590",SD0J7KG2L6H,4549995401059 ,MR963J/A,Apple Watch Series 9 GPSモデル 45mm MR963J/A [スターライトスポーツバンド S/M],1,1,,2023/11/16
"59,314",CS0593-HN0148720,4968929217212 ,JBLTOURPRO2BLK,TOUR PRO 2 [ブラック]完全ワイヤレスイヤホン,1,1,,2023/11/4
"59,255",333520752342A,4957180118628 ,HVTR-BCTX3,IODATA REC-ON HVTR-BCTX3 地上・BS・110度CSデジタル放送対応ネットワークテレビチューナー,1,1,,2023/10/30
"59,259",B363693929970,619659184162 ,SDSQUA4-032G-GN6MN,SDSQUA4-032G-GN6MN [32GB] SDメモリーカードClass10,1,1,,2023/10/30
"59,261",C363693929970,619659184162 ,SDSQUA4-032G-GN6MN,SDSQUA4-032G-GN6MN [32GB] SDメモリーカードClass10,1,1,,2023/10/30
"59,263",D363693929970,619659184162 ,SDSQUA4-032G-GN6MN,SDSQUA4-032G-GN6MN [32GB] SDメモリーカードClass10,1,1,,2023/10/30
"59,186",477921177182A,4549550203975 ,M-DY10DRSKBUL,M-DY10DRSKBUL [ライトブルー]無線マウス 光学式 Sサイズ,1,1,,2023/10/26
"58,898",323349454256A,4956027129261 ,ELJM-30336,イースX - NORDICS - [通常版] [PS5],1,1,,2023/10/12
"58,821",DA0880980291,4949776442040 ,PLJM-17262,ARMORED CORE VI FIRES OF RUBICON [PS4],1,1,,2023/10/10
"58,542",083832M31186396AE,4969929258168 ,QCEARBUDSIIBLK,QuietComfort Earbuds II [トリプルブラック] 完全ワイヤレスイヤフォン,1,1,,2023/9/30
"58,462",SGD7L28EZ266Y,4549995391923 ,MQTR3PA/A,Beats Studio Pro MQTR3PA/A [サンドストーン]空間オーディオやロスレスオーディオに対応したANCヘッドホン,1,1,,2023/9/26
"58,422",PM2329F64400020,4571585635131 ,RZ03-04340100-R3M1,Huntsman Mini Analog RZ03-04340100-R3M1 ゲーミングキーボード,1,1,,2023/9/23
"58,117",44176B6AFMN3UJ03404,6941812705858 ,BHR6854GL,Redmi Watch 3 シリコンストラップ [アイボリー]スマートウォッチ,1,1,,2023/9/11
"57,841",005503616861A,4548736062368 ,MDREX155N,SONY MDR-EX155 (N) [ゴールド] ダイナミック密閉型カナルイヤホン,1,1,,2023/9/4
"57,835",AC2207D20604111,4571585635094 ,RZ04-03520300-R3M1,HelloKitty and Friends Edition RZ04-03520300-R3M1 ,1,1,,2023/9/3
"57,613",443837143234A,4549077898975 ,LR03NJ/20SW,パナソニック エボルタNEO アルカリ乾電池 単4形 20本パック LR03NJ/20SW,1,1,,2023/8/4
"57,605",S012151856E,4548736064768 ,NW-S313 (L),SONY NW-S313 (L) [4GB ブルー] ポータブルオーディオプレーヤー,1,1,,2023/8/3
"57,440",223073295998S,4582678511249 ,AQC-WX1P-W,WIPEL AQC-WX1P-W [ホワイト] コードレススティック掃除機,1,1,,2023/7/19
"56,946",10053256 ,4956810841547 ,4.95681E+12,こども用おでかけハンガー １個入,15,15,,2023/6/14
"56,932",5166884 ,4903111961900 ,4.90311E+12,超立体マスク こども用 園児・低学年用 ホワイト 5枚入,6,6,,2023/6/14
"56,934",17202454 ,4903111543663 ,4.90311E+12,超立体マスク こども用 園児・低学年用 ピンク 20枚入,2,2,,2023/6/14
"56,936",5166883 ,4903111962273 ,4.90311E+12,超立体マスク こども用 園児・低学年用 男女共用 ピンク 5枚入,6,6,,2023/6/14
"56,962",40398 ,4955574781526 ,4.95557E+12,ソフトタッチで、カブレにくい！　救急バン　Ｍサイズ　１００枚入,1,1,,2023/6/14
"56,938",16045097 ,4973512309779 ,4.97351E+12,ヤシノミ洗剤 プレミアムパワー 濃縮タイプ 詰替用 540mL,3,3,,2023/6/14
"56,940",8851561 ,4903361440927 ,4.90336E+12,※こどもＤＨＡドロップグミ ９０粒入,2,2,,2023/6/14
"56,942",18062538 ,4903361441207 ,4.90336E+12,※[7月26日まで特価]こどもDHA+ビタミンD ドロップグミ ピーチ風味 60粒入,2,2,,2023/6/14
"56,944",8441808 ,4511413623855 ,4.51141E+12,※ＤＨＣ 茶葉まるごとカテキン 粉末緑茶 ４０ｇ,3,3,,2023/6/14
"56,948",8661475 ,4901121615295 ,4.90112E+12,ネピア ネピネピ水に流せるポケットティシュ ２０枚（１０組）×１６個パック,1,1,,2023/6/14
"56,950",3315136 ,4902424433050 ,4.90242E+12,お肌の虫よけ スキンベープミスト 200mL,2,2,,2023/6/14
"56,952",10334945 ,4902621004992 ,4.90262E+12,※ヘルシークラブ バランスパワービッグ 果実たっぷり ２袋（４本）入,3,3,,2023/6/14
"56,954",12205266 ,4956810215652 ,4.95681E+12,デイリィハンガー ホワイト 10本組,2,2,,2023/6/14
"56,956",9829943 ,4969133922008 ,4.96913E+12,多目的 廃棄物ノコギリ,1,1,,2023/6/14
"56,960",18222556 ,4969133911392 ,4.96913E+12,コジット 持ち運びできる段ボールストッカー,1,1,,2023/6/14
"56,930",17202453 ,4903111543373 ,4.90311E+12,超立体マスク こども用 園児・低学年用 ホワイト 20枚入,10,10,,2023/6/14
"56,964",11787779 ,4987115000728 ,4.98712E+12,天然除虫菊 金鳥の渦巻 ミニサイズ 除虫菊の自然な香り 20巻入,2,2,,2023/6/14
"56,958",14043141 ,4902011717082 ,4.90201E+12,エリエール+Water(プラスウォーター) ソフトパックタイプ 240枚(120組)×5個パック,6,3,,2023/6/14
"56,852",S013026465C,4548736103351 ,ICD-UX570FS,ICD-UX570F (S) [シルバー] 「おまかせボイス」を搭載したICレコーダー（4GB）,1,1,,2023/6/13
"56,453",A120230322105753,4535506303547 ,"HAC-P-A74QA",ルーンファクトリー3スペシャル [Nintendo Switch],1,1,,2023/5/19
"55,829",ADA1398969432,4902370539073 ,HAC-P-AH26A,任天堂　星のカービィ スターアライズ,1,1,,2023/5/2
"55,795",626527234966A,4944076005322 ,HAC-P-A97RA,バッカニヤ [Nintendo Switch],1,1,,2023/4/29
"55,664",DA1842088814,4573419410280 ,HAC-P-A27FA,あの、素晴らしい をもう一度/再装版HD [通常版] [Nintendo Switch],1,1,,2023/4/24
"55,650",323789892090A,4902370551044 ,HAC-P-AXB8A,ベヨネッタ オリジンズ： セレッサと迷子の悪魔 [Nintendo Switch],1,1,,2023/4/22
"55,107",Q22AB10427S,885022024643 ,TS-262-4G,TS-262-4G [マルチメディアNAS],1,1,,2023/4/4
"54,773",2710598863373A,4571411195464 ,A2663N11,Nano II 65W A2663N11 充電器,1,1,,2023/3/21
"53,792",079616Y13575331AE,4969929252784 ,Headphones700-BLK,BOSE ボーズ Bose Noise Cancelling Headphones 700 BLK ブルートゥースヘッドホン,1,1,,2023/2/20
"53,429",A0PA2Z83664,4571597061256 ,WB-P1-NV,AVIOT Openpiece Playful WB-P1-NV [ドーンネイビー] 骨伝導イヤフォン,1,1,,2023/2/4
"53,307",A323753332954,4965857103754 ,HAC-P-A7JDA,Fit Boxing 北斗の拳 ～お前はもう痩せている～ [Nintendo Switch] ,1,1,,2023/1/30
"53,282",A522598856581,4965857103754 ,HAC-P-A7JDA,Fit Boxing 北斗の拳 ～お前はもう痩せている～ [Nintendo Switch] ,1,1,,2023/1/27
"53,253",C018716,4548848073627 ,ACB50X,ACB50X UVストリーマ空気清浄機,1,1,,2023/1/26
"52,223",469159670980A,4988601011433 ,HAC-P-A3FEA,ドラゴンクエスト トレジャーズ 蒼き瞳と大空の羅針盤 [Nintendo Switch] ,1,1,,2022/12/22
"52,221",368715482391A,4988601011327 ,HAC-P-A6J6A,クライシス コア - ファイナルファンタジーVII - リユニオン [Nintendo Switch] ,1,1,,2022/12/22
"52,212",477239600692A,4589857090847 ,HAC-P-A868B,WRCジェネレーションズ [Nintendo Switch] ,1,1,,2022/12/21
"52,041",A323737023912,4938833024268 ,ELJM-30246,Need for Speed Unbound [PS5] ,1,1,,2022/12/17
"51,776",A477212941870,4589857090830 ,PLJM-17128,WRCジェネレーションズ [PS4] ,1,1,,2022/12/13
"51,532",HN2211D22203114,4571585634479 ,RZ04-03240600-R3M1,BlackShark V2 X RZ04-03240600-R3M1 [Razer Green] ,1,1,,2022/12/7
"51,439",2862340980A,4580383621321 ,SL008SW25,SALONIA セラミックカールアイロン 25mm SL-008 [シルバーホワイト] ヘアアイロン ,1,1,,2022/12/5
"51,402",469158575782A,4988602175660 ,RL014-J1,遊戯王ラッシュデュエル 最強バトルロイヤル！！ いくぞ！ゴーラッシュ！！ スペシャルエディション [Nintendo Switch] ,1,1,,2022/12/5
"50,872",323724203703A,4571577961743 ,PLJS-36193,SDガンダム バトルアライアンス [PS4] ,1,1,,2022/11/22
"50,750",S12738528,4975769020322 ,HA-A11T-W,JVC HA-A11T-W [ホワイト]   完全ワイヤレスイヤホン   ,1,1,,2022/11/20
"50,569",A289240111860,4974019146874 ,IG-MX15-W,シャープ IG-MX15-W [ホワイト系] イオン発生機　車載用,1,1,,2022/11/16
"50,137",B442772347113,4902370543278 ,HAC-R-AL3PA,任天堂 Nintendo リングフィット アドベンチャー Nintendo Switchソフト,1,1,,2022/11/7
